Titel;Namenszusatz;Name;Vorname;Geschlecht;Geburtsjahr;Beruf;Partei_KurzBez;Partei_Bez;Gewählt_Stimmenart;Gewählt_Land;Gewählt_Wahlkreis_Nr;Gewählt_Wahlkreis_Bez;Gewählt_Erststimmenanteil;Gewählt_Liste_Platz;Kandidierte-auch_Land;Kandidierte-auch_Wahlkreis_Nr;Kandidierte-auch_Liste_Platz;Wiedergewählt
Dr.;;Lötzsch;Gesine;w;1961;MdB / Philologin;DIE LINKE;DIE LINKE;E;BE;86;Berlin-Lichtenberg;34,8;;BE;;3;X
;;Lucassen;Hans-Rüdiger;m;1951;Geschäftsführer;AfD;Alternative für Deutschland;Z;NW;;;;7;NW;92;;
Dr.;;Luczak;Jan-Marco;m;1975;Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;BE;81;Berlin-Tempelhof-Schöneberg;28,9;;BE;;3;X
;;Ludwig;Daniela;w;1975;MdB;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;222;Rosenheim;45,9;;BY;;7;X
;;Lühmann;Kirsten;w;1964;MdB / Polizistin;SPD;Sozialdemokratische Partei Deutschlands;Z;NI;;;;10;NI;44;;X
;;Luksic;Oliver;m;1979;Unternehmensberater;FDP;Freie Demokratische Partei;Z;SL;;;;1;SL;298;;
;;Lutze;Thomas;m;1969;MdB / Maschinenbauer;DIE LINKE;DIE LINKE;Z;SL;;;;1;;;;X
;;Maag;Karin;w;1962;MdB;CDU;Christlich Demokratische Union Deutschlands;E;BW;259;Stuttgart II;33,5;;;;;X
;;Maas;Heiko Josef;m;1966;Jurist;SPD;Sozialdemokratische Partei Deutschlands;Z;SL;;;;1;SL;297;;
;;Magnitz;Frank Rüdiger Heinrich;m;1952;Kaufmann;AfD;Alternative für Deutschland;Z;HB;;;;1;HB;55;;
;;Magwas;Yvonne;w;1979;MdB;CDU;Christlich Demokratische Union Deutschlands;E;SN;166;Vogtlandkreis;35;;SN;;4;X
;;Maier;Jens;m;1962;Richter;AfD;Alternative für Deutschland;Z;SN;;;;2;SN;159;;
Prof. Dr.;;Maier;Lothar;m;1944;Hochschullehrer;AfD;Alternative für Deutschland;Z;BW;;;;2;BW;259;;
Dr.;de;Maizière;Thomas;m;1954;MdB / Bundesminister;CDU;Christlich Demokratische Union Deutschlands;E;SN;155;Meißen;36,7;;SN;;1;X
Dr.;;Malsack-Winkemann;Birgit;w;1964;Richterin;AfD;Alternative für Deutschland;Z;BE;;;;4;;;;
Dr.;;Mannes;Astrid;w;1967;Bürgermeisterin;CDU;Christlich Demokratische Union Deutschlands;E;HE;186;Darmstadt;30,7;;HE;;12;
;;Mansmann;Till Berthold;m;1968;Dipl.-Physiker;FDP;Freie Demokratische Partei;Z;HE;;;;5;HE;188;;
;;Marks;Caren;w;1963;MdB / Dipl.-Geografin;SPD;Sozialdemokratische Partei Deutschlands;Z;NI;;;;6;NI;43;;X
Dr.;;Martens;Jürgen Andreas Michael;m;1959;Rechtsanwalt / Staatsminister a. D.;FDP;Freie Demokratische Partei;Z;SN;;;;2;SN;165;;
;von der;Marwitz;Hans-Georg;m;1961;MdB / Landwirt;CDU;Christlich Demokratische Union Deutschlands;E;BB;59;Märkisch-Oderland – Barnim II;28,4;;BB;;9;X
;De;Masi;Fabio Valeriano Lanfranco;m;1980;MdEP / Dipl.-Volkswirt;DIE LINKE;DIE LINKE;Z;HH;;;;1;;;;
;;Mast;Katja;w;1971;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;BW;;;;7;BW;279;;X
;;Matschie;Christoph;m;1961;Theologe;SPD;Sozialdemokratische Partei Deutschlands;Z;TH;;;;3;TH;191;;
;;Mattfeldt;Andreas;m;1969;MdB / Industriekaufmann;CDU;Christlich Demokratische Union Deutschlands;E;NI;34;Osterholz – Verden;39,2;;NI;;20;X
;;Mattheis;Hildegard;w;1954;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;BW;;;;5;BW;291;;X
;;Mayer;Stephan;m;1973;MdB / Rechtsanwalt;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;212;Altötting;54,5;;;;;X
;;Meiser;Pascal;m;1975;Dipl.-Politikwissenschaftler;DIE LINKE;DIE LINKE;Z;BE;;;;4;BE;83;;
Dr.;;Meister;Michael Günther;m;1961;Dipl.-Mathematiker;CDU;Christlich Demokratische Union Deutschlands;E;HE;188;Bergstraße;38,9;;HE;;2;X
Dr.;;Merkel;Angela Dorothea;w;1954;MdB;CDU;Christlich Demokratische Union Deutschlands;E;MV;15;Vorpommern-Rügen – Vorpommern-Greifswald I;44;;MV;;1;X
;;Metzler;Jan;m;1981;Winzer / Dipl.-Betriebswirt (FH);CDU;Christlich Demokratische Union Deutschlands;E;RP;206;Worms;41,1;;RP;;6;X
;;Meyer;Christoph;m;1975;Rechtsanwalt / ltd. Angestellter;FDP;Freie Demokratische Partei;Z;BE;;;;1;BE;80;;
;;Miazga;Corinna;w;1983;Angestellte;AfD;Alternative für Deutschland;Z;BY;;;;3;;;;
Dr. h. c.;;Michelbach;Hans Georg;m;1949;MdB;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;238;Coburg;45,3;;BY;;15;X
Dr.;;Middelberg;Mathias;m;1964;MdB / Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;NI;39;Stadt Osnabrück;40,3;;NI;;5;X
Dr.;;Miersch;Matthias;m;1968;MdB / Rechtsanwalt;SPD;Sozialdemokratische Partei Deutschlands;E;NI;47;Hannover-Land II;37;;NI;;3;X
;;Mieruch;Mario;m;1975;Dipl.-Ing. Mechatronik (B. A.);AfD;Alternative für Deutschland;Z;NW;;;;12;NW;124;;
;;Mihalic;Irene;w;1976;Polizeibeamtin a. D.;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;NW;;;;5;NW;123;;X
;;Mindrup;Klaus;m;1964;MdB / Dipl.-Biologe;SPD;Sozialdemokratische Partei Deutschlands;Z;BE;;;;4;BE;76;;X
;;Mittag;Susanne;w;1958;Polizeibeamtin;SPD;Sozialdemokratische Partei Deutschlands;Z;NI;;;;2;NI;28;;X
;;Mohamed Ali;Amira;w;1980;Rechtsanwältin;DIE LINKE;DIE LINKE;Z;NI;;;;5;NI;27;;
;;Möhring;Cornelia;w;1960;Dipl.-Sozialökonomin;DIE LINKE;DIE LINKE;Z;SH;;;;1;SH;7;;X
;;Mohrs;Falko;m;1984;Dipl.-Kaufmann (FH) / Speditionskaufmann;SPD;Sozialdemokratische Partei Deutschlands;E;NI;51;Helmstedt – Wolfsburg;38;;NI;;19;
;;Moll;Claudia;w;1968;Altenpflegerin;SPD;Sozialdemokratische Partei Deutschlands;E;NW;88;Aachen II;36,9;;NW;;38;
;;Möller;Siemtje;w;1983;Lehrerin (StRin);SPD;Sozialdemokratische Partei Deutschlands;E;NI;26;Friesland – Wilhelmshaven – Wittmund;39,7;;NI;;18;
;;Monstadt;Dietrich;m;1957;MdB / Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;MV;12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;32,1;;MV;;3;X
;;Möring;Karsten;m;1949;MdB;CDU;Christlich Demokratische Union Deutschlands;E;NW;93;Köln I;31,6;;NW;;42;X
;;Mortler;Marlene;w;1955;MdB / Hauswirtschaftsmeisterin;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;246;Roth;44,5;;BY;;9;X
;;Motschmann;Elisabeth Charlotte;w;1952;MdB / Staatsrätin a. D.;CDU;Christlich Demokratische Union Deutschlands;Z;HB;;;;1;HB;54;;X
;;Movassat;Niema;m;1984;Jurist;DIE LINKE;DIE LINKE;Z;NW;;;;6;NW;117;;X
;;Mrosek;Andreas;m;1958;MdL / Dipl.-Ing. für Schiffsführung;AfD;Alternative für Deutschland;Z;ST;;;;4;ST;70;;
;;Müller;Alexander;m;1969;Dipl.-Informatiker;FDP;Freie Demokratische Partei;Z;HE;;;;6;HE;178;;
;;Müller;Axel;m;1963;Richter;CDU;Christlich Demokratische Union Deutschlands;E;BW;294;Ravensburg;38,5;;;;;
;;Müller;Bettina;w;1959;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;HE;;;;8;HE;175;;X
;;Müller;Carsten;m;1970;Rechtsanwalt / Bankkaufmann;CDU;Christlich Demokratische Union Deutschlands;Z;NI;;;;8;NI;50;;X
;;Müller;Claudia;w;1981;Betriebswirtin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;MV;;;;1;MV;15;;
;;Müller;Detlef;m;1964;Lokomotivführer;SPD;Sozialdemokratische Partei Deutschlands;Z;SN;;;;4;SN;162;;X
Dr.;;Müller;Gerhard (Gerd);m;1955;MdB / Bundesminister;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;256;Oberallgäu;50,4;;BY;;5;X
;;Müller;Hansjörg Gerhard Georg;m;1968;selbst. Interimmanager;AfD;Alternative für Deutschland;Z;BY;;;;6;BY;225;;
;;Müller;Norbert;m;1986;MdB / Student;DIE LINKE;DIE LINKE;Z;BB;;;;4;BB;61;;X
;;Müller;Sepp;m;1989;Dipl.-Bankbetriebswirt (FS);CDU;Christlich Demokratische Union Deutschlands;E;ST;70;Dessau – Wittenberg;35,2;;ST;;6;
;;Müller;Stefan;m;1975;parl. Staatssekretär;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;242;Erlangen;42,7;;BY;;11;X
;;Müller-Böhm;Roman;m;1992;Student;FDP;Freie Demokratische Partei;Z;NW;;;;18;NW;117;;
;;Müller-Gemmeke;Beate;w;1960;MdB;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BW;;;;7;BW;289;;X
;;Müller-Rosentritt;Frank;m;1982;ltd. Angestellter / Geschäftsführer;FDP;Freie Demokratische Partei;Z;SN;;;;3;SN;162;;
;;Müntefering;Michelle;w;1980;Journalistin;SPD;Sozialdemokratische Partei Deutschlands;E;NW;141;Herne – Bochum II;41,9;;NW;;30;X
;;Münz;Volker;m;1964;Bankkaufmann;AfD;Alternative für Deutschland;Z;BW;;;;8;BW;263;;
;;Münzenmaier;Sebastian;m;1989;Geschäftsführer;AfD;Alternative für Deutschland;Z;RP;;;;1;RP;205;;
Dr.;;Mützenich;Rolf;m;1959;Politikwissenschaftler;SPD;Sozialdemokratische Partei Deutschlands;E;NW;95;Köln III;32,3;;NW;;60;X
;;Nahles;Andrea;w;1970;MdB / Literaturwissenschaftlerin (M. A.);SPD;Sozialdemokratische Partei Deutschlands;Z;RP;;;;1;RP;198;;X
;;Nastic;Zaklin;w;1980;Angehörigenpflegerin;DIE LINKE;DIE LINKE;Z;HH;;;;2;HH;20;;
;;Nestle;Ingrid;w;1977;Dipl.-Wirtschaftsingenieurin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;SH;;;;3;SH;3;;
Dr.;;Neu;Alexander;m;1969;Politikwissenschaftler;DIE LINKE;DIE LINKE;Z;NW;;;;10;NW;97;;X
;;Neumann;Christoph;m;1964;Dipl.-Ing. Pädagoge;AfD;Alternative für Deutschland;Z;SN;;;;11;SN;152;;
Prof. Dr.;;Neumann;Martin;m;1956;Hochschullehrer / beratender Ingenieur;FDP;Freie Demokratische Partei;Z;BB;;;;2;BB;65;;
Dr.;;Nick;Andreas;m;1967;MdB / Dipl.-Kaufmann / M.I.P.P.;CDU;Christlich Demokratische Union Deutschlands;E;RP;204;Montabaur;43,3;;RP;;12;X
;;Nicolaisen;Petra;w;1965;Industriekauffrau;CDU;Christlich Demokratische Union Deutschlands;E;SH;1;Flensburg – Schleswig;40;;;;;
;;Nietan;Dietmar;m;1964;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;NW;;;;9;NW;90;;X
;;Nissen;Ulrike;w;1959;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;HE;;;;6;HE;183;;X
;;Noll;Michaela;w;1959;MdB / Rechtsanwältin;CDU;Christlich Demokratische Union Deutschlands;E;NW;104;Mettmann I;44,6;;NW;;4;X
;;Nolte;Jan Ralf;m;1988;Soldat;AfD;Alternative für Deutschland;Z;HE;;;;4;HE;167;;
;;Nord;Thomas Hans;m;1957;MdB / Kulturwissenschaftler;DIE LINKE;DIE LINKE;Z;BB;;;;2;BB;63;;X
Dr.;von;Notz;Konstantin;m;1971;MdB / Jurist;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;SH;;;;2;SH;10;;X
;;Nouripour;Omid;m;1975;selbständig;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;HE;;;;2;HE;183;;X
Dr.;;Nüßlein;Georg;m;1969;MdB / Dipl.-Kaufmann;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;255;Neu-Ulm;44,6;;;;;X
;;Oehme;Bernhard Ulrich;m;1960;Versicherungsmakler;AfD;Alternative für Deutschland;Z;SN;;;;7;SN;163;;
;;Oellers;Wilfried;m;1975;Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;NW;89;Heinsberg;45,6;;NW;;53;X
;;Oppermann;Thomas;m;1954;MdB / Jurist;SPD;Sozialdemokratische Partei Deutschlands;E;NI;53;Göttingen;34,9;;NI;;1;X
;;Ortleb;Josephine Loulou;w;1986;Fachwirtin im Gastgewerbe;SPD;Sozialdemokratische Partei Deutschlands;E;SL;296;Saarbrücken;32,1;;SL;;2;
;;Oßner;Florian;m;1980;Dipl.-Volkswirt (Univ.);CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;228;Landshut;39,6;;;;;X
;;Ostendorff;Friedrich;m;1953;Bauer;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;NW;;;;12;NW;127;;X
;;Oster;Josef;m;1971;Bürgermeister;CDU;Christlich Demokratische Union Deutschlands;E;RP;199;Koblenz;41,3;;RP;;14;
;;Otte;Henning;m;1968;MdB;CDU;Christlich Demokratische Union Deutschlands;E;NI;44;Celle – Uelzen;42,7;;NI;;11;X
;;Otten;Gerold Joachim;m;1955;Major a. D. / Oberst d. R.;AfD;Alternative für Deutschland;Z;BY;;;;8;BY;221;;
;;Özdemir;Cem;m;1965;MdB;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BW;;;;2;BW;258;;X
;;Özdemir;Mahmut;m;1987;MdB;SPD;Sozialdemokratische Partei Deutschlands;E;NW;116;Duisburg II;34,7;;NW;;63;X
;;Özoğuz;Aydan Saliha;w;1967;MdB / Staatsministerin;SPD;Sozialdemokratische Partei Deutschlands;E;HH;22;Hamburg-Wandsbek;34,6;;HH;;1;X
;;Pantel;Sylvia;w;1961;MdB;CDU;Christlich Demokratische Union Deutschlands;E;NW;107;Düsseldorf II;33,8;;NW;;44;X
;;Pasemann;Frank;m;1960;selbständig;AfD;Alternative für Deutschland;Z;ST;;;;2;ST;69;;
;;Patzelt;Martin Maria Otto Felix;m;1947;MdB;CDU;Christlich Demokratische Union Deutschlands;E;BB;63;Frankfurt (Oder) – Oder-Spree;27,1;;BB;;10;X
;;Pau;Petra;w;1963;MdB;DIE LINKE;DIE LINKE;E;BE;85;Berlin-Marzahn-Hellersdorf;34,2;;BE;;1;X
;;Paus;Elisabeth (Lisa);w;1968;MdB / Dipl.-Volkswirtin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BE;;;;1;BE;80;;X
;;Pellmann;Sören;m;1977;Grund- und Förderschullehrer;DIE LINKE;DIE LINKE;E;SN;153;Leipzig II;25,3;;;;;
;;Perli;Victor Angelo;m;1982;Geschäftsführer / Politikwissenschaftler;DIE LINKE;DIE LINKE;Z;NI;;;;4;NI;49;;
;;Peterka;Tobias Matthias;m;1982;Dipl.-Jurist;AfD;Alternative für Deutschland;Z;BY;;;;11;BY;237;;
;;Petry;Christian;m;1965;Dipl.-Verwaltungswirt;SPD;Sozialdemokratische Partei Deutschlands;Z;SL;;;;3;SL;298;;X
Dr.;;Petry;Frauke;w;1975;MdL;AfD;Alternative für Deutschland;E;SN;158;Sächsische Schweiz-Osterzgebirge;37,4;;SN;;1;
Dr.;;Pfeiffer;Joachim;m;1967;MdB / Dipl.-Kaufmann;CDU;Christlich Demokratische Union Deutschlands;E;BW;264;Waiblingen;36,8;;;;;X
;;Pflüger;Tobias;m;1965;wiss. Angestellter;DIE LINKE;DIE LINKE;Z;BW;;;;4;BW;281;;
;;Pilger;Detlev;m;1955;MdB / Lehrer;SPD;Sozialdemokratische Partei Deutschlands;Z;RP;;;;8;RP;199;;X
;;Pilsinger;Stephan;m;1987;Arzt;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;220;München-West/Mitte;33,3;;BY;;23;
Dr.;;Ploß;Christoph Johannes;m;1985;Pressereferent;CDU;Christlich Demokratische Union Deutschlands;E;HH;21;Hamburg-Nord;33,5;;HH;;4;
;;Podolay;Paul Viktor;m;1946;Medizintechniker / Publizist;AfD;Alternative für Deutschland;Z;BY;;;;10;BY;242;;
;;Pohl;Jürgen;m;1964;Rechtsanwalt;AfD;Alternative für Deutschland;Z;TH;;;;2;TH;189;;
;;Polat;Filiz;w;1978;MdL / Dipl.-Volkswirtin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;NI;;;;3;NI;38;;
;;Pols;Eckhard;m;1962;MdB / Glasermeister;CDU;Christlich Demokratische Union Deutschlands;E;NI;37;Lüchow-Dannenberg – Lüneburg;33,5;;NI;;17;X
;;Poschmann;Sabine;w;1968;Betriebswirtin (VWA);SPD;Sozialdemokratische Partei Deutschlands;E;NW;143;Dortmund II;38,8;;NW;;24;X
;;Post;Achim;m;1959;Dipl.-Soziologe;SPD;Sozialdemokratische Partei Deutschlands;E;NW;134;Minden-Lübbecke I;37,4;;NW;;5;X
;;Post;Florian;m;1981;MdB / Dipl.-Kaufmann;SPD;Sozialdemokratische Partei Deutschlands;Z;BY;;;;9;BY;217;;X
;;Pronold;Florian;m;1972;MdB / parl. Staatssekretär;SPD;Sozialdemokratische Partei Deutschlands;Z;BY;;;;1;BY;230;;X
;;Protschka;Stephan;m;1977;selbständig;AfD;Alternative für Deutschland;Z;BY;;;;9;BY;230;;
Dr.;;Raabe;Sascha Markus;m;1968;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;HE;;;;3;HE;180;;X
;;Rabanus;Martin Hermann;m;1971;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;HE;;;;7;HE;178;;X
;;Rachel;Thomas;m;1962;MdB / parl. Staatssekretär;CDU;Christlich Demokratische Union Deutschlands;E;NW;90;Düren;41,9;;NW;;6;X
;;Radomski;Kerstin;w;1974;MdB / Lehrerin;CDU;Christlich Demokratische Union Deutschlands;E;NW;114;Krefeld II – Wesel II;37;;NW;;29;X
;;Radwan;Alexander Gamal;m;1964;MdB;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;223;Bad Tölz-Wolfratshausen – Miesbach;47,6;;;;;X
;;Rainer;Alois Georg Josef;m;1965;MdB / Metzgermeister;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;231;Straubing;47,6;;;;;X
Dr.;;Ramsauer;Peter;m;1954;MdB / Müllermeister / Dipl.-Kaufmann;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;225;Traunstein;50,3;;BY;;17;X
;;Rehberg;Eckhardt Harald;m;1954;MdB / Dipl.-Ing. für Informationsverwaltung;CDU;Christlich Demokratische Union Deutschlands;E;MV;17;Mecklenburgische Seenplatte II – Landkreis Rostock III;37,6;;MV;;2;X
;;Reichardt;Martin;m;1969;Angestellter;AfD;Alternative für Deutschland;Z;ST;;;;1;;;;
Dr.;;Reimann;Carola;w;1967;MdB / Biotechnologin;SPD;Sozialdemokratische Partei Deutschlands;E;NI;50;Braunschweig;38;;NI;;12;X
;;Reinhold;Hagen;m;1978;Meister im Maurer- und Betonhandwerk;FDP;Freie Demokratische Partei;Z;MV;;;;1;MV;14;;
;;Remmers;Ingrid;w;1965;Sozialwissenschaftlerin;DIE LINKE;DIE LINKE;Z;NW;;;;11;NW;123;;
;;Renner;Martin Erwin;m;1954;Dipl.-Betriebswirt;AfD;Alternative für Deutschland;Z;NW;;;;1;NW;104;;
;;Renner;Martina;w;1967;MdB / wiss. Mitarbeiterin;DIE LINKE;DIE LINKE;Z;TH;;;;1;TH;193;;X
;;Reusch;Roman Johannes;m;1954;Beamter / Oberstaatsanwalt;AfD;Alternative für Deutschland;Z;BB;;;;2;;;;
;;Reuther;Bernd;m;1971;Angestellter;FDP;Freie Demokratische Partei;Z;NW;;;;13;NW;113;;
Dr.;De;Ridder;Daniela;w;1962;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;NI;;;;4;NI;31;;X
;;Riebsamen;Lothar;m;1957;MdB;CDU;Christlich Demokratische Union Deutschlands;E;BW;293;Bodensee;41,4;;;;;X
;;Rief;Josef;m;1960;MdB / Landwirtschaftsmeister;CDU;Christlich Demokratische Union Deutschlands;E;BW;292;Biberach;44,5;;;;;X
;;Riexinger;Bernd;m;1955;Parteivorsitzender;DIE LINKE;DIE LINKE;Z;BW;;;;1;BW;259;;
;;Rimkus;Andreas;m;1962;Elektromeister in der Energiewirtschaft;SPD;Sozialdemokratische Partei Deutschlands;Z;NW;;;;17;NW;107;;X
;;Rix;Sönke;m;1975;Erzieher;SPD;Sozialdemokratische Partei Deutschlands;Z;SH;;;;2;SH;4;;X
;;Rohde;Dennis;m;1986;MdB / Rechtsanwalt;SPD;Sozialdemokratische Partei Deutschlands;E;NI;27;Oldenburg – Ammerland;36,3;;NI;;11;X
;;Röring;Johannes August;m;1959;MdB / staatl. geprüfter Landwirt;CDU;Christlich Demokratische Union Deutschlands;E;NW;126;Borken II;52,3;;;;;X
Dr.;;Rosemann;Martin;m;1976;MdB / Dipl.-Volkswirt;SPD;Sozialdemokratische Partei Deutschlands;Z;BW;;;;14;BW;290;;X
;;Röspel;René;m;1964;MdB / Dipl.-Biologe;SPD;Sozialdemokratische Partei Deutschlands;E;NW;138;Hagen – Ennepe-Ruhr-Kreis I;39,2;;NW;;47;X
Dr.;;Rossmann;Ernst Dieter;m;1951;MdB / Dipl.-Psychologe;SPD;Sozialdemokratische Partei Deutschlands;Z;SH;;;;4;SH;7;;X
;;Rößner;Tabea;w;1966;MdB;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;RP;;;;1;RP;205;;X
;;Roth;Claudia Benedikta;w;1955;MdB / Dramaturgin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BY;;;;1;BY;252;;X
;;Roth;Michael;m;1970;Staatsminister;SPD;Sozialdemokratische Partei Deutschlands;E;HE;169;Werra-Meißner – Hersfeld-Rotenburg;41,2;;HE;;1;X
Dr.;;Röttgen;Norbert;m;1965;Rechtsanwalt;CDU;Christlich Demokratische Union Deutschlands;E;NW;98;Rhein-Sieg-Kreis II;46,5;;;;;X
Dr.;;Rottmann;Manuela;w;1972;Juristin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BY;;;;7;BY;248;;
;;Rouenhoff;Stefan;m;1978;Handelsattaché;CDU;Christlich Demokratische Union Deutschlands;E;NW;112;Kleve;45;;;;;
;;Rüddel;Erwin;m;1955;MdB / Dipl.-Betriebswirt;CDU;Christlich Demokratische Union Deutschlands;E;RP;197;Neuwied;43,2;;RP;;7;X
;;Rüffer;Corinna;w;1975;Politikerin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;RP;;;;3;RP;203;;X
Dr.;;Ruppert;Stefan;m;1971;Rechtsanwalt;FDP;Freie Demokratische Partei;Z;HE;;;;2;HE;176;;
;;Rupprecht;Albert;m;1968;MdB / Dipl.-Volkswirt;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;235;Weiden;46,2;;BY;;35;X
;;Rüthrich;Susann;w;1977;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;SN;;;;3;SN;155;;X
;;Rützel;Bernd;m;1968;MdB / techn. Oberamtsrat a. D.;SPD;Sozialdemokratische Partei Deutschlands;Z;BY;;;;7;BY;249;;X
;;Ryglewski;Sarah Janina;w;1983;MdB / Dipl.-Politikwissenschaftlerin;SPD;Sozialdemokratische Partei Deutschlands;E;HB;54;Bremen I;30;;HB;;1;X
;;Saathoff;Johann;m;1967;MdB / Dipl.-Verwaltungswirt (FH);SPD;Sozialdemokratische Partei Deutschlands;E;NI;24;Aurich – Emden;49,6;;NI;;21;X
;;Sarrazin;Manuel Ferdinand Theodor;m;1982;Historiker;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;HH;;;;2;HH;23;;X
;;Sattelberger;Thomas;m;1949;Vorstand i. R.;FDP;Freie Demokratische Partei;Z;BY;;;;5;BY;219;;
;;Sauer;Stefan;m;1966;Bürgermeister;CDU;Christlich Demokratische Union Deutschlands;E;HE;184;Groß-Gerau;35,1;;HE;;19;
;;Sauter;Christian;m;1980;Dipl.-Wirtschaftsingenieur (FH);FDP;Freie Demokratische Partei;Z;NW;;;;15;NW;135;;
;;Schäfer;Anita;w;1951;MdB / Angestellte;CDU;Christlich Demokratische Union Deutschlands;E;RP;210;Pirmasens;36,8;;RP;;3;X
;;Schäfer;Axel;m;1952;MdB;SPD;Sozialdemokratische Partei Deutschlands;E;NW;140;Bochum I;37,2;;NW;;59;X
;;Schäffler;Frank;m;1968;Dipl.-Betriebswirt;FDP;Freie Demokratische Partei;Z;NW;;;;9;NW;134;;
Dr.;;Schäuble;Wolfgang;m;1942;MdB / Bundesminister;CDU;Christlich Demokratische Union Deutschlands;E;BW;284;Offenburg;48,1;;BW;;1;X
;;Schauws;Ursula (Ulle);w;1966;Film- und Fernsehwissenschaftlerin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;NW;;;;11;NW;114;;X
Dr.;;Scheer;Nina;w;1971;Juristin / Politikwissenschaftlerin / Musikerin;SPD;Sozialdemokratische Partei Deutschlands;Z;SH;;;;3;SH;10;;X
;;Scheuer;Andreas Franz;m;1974;MdB;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;229;Passau;47,5;;BY;;4;X
Dr.;;Schick;Gerhard;m;1972;MdB / Volkswirt;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BW;;;;4;BW;275;;X
;;Schieder;Marianne;w;1962;MdB / Juristin;SPD;Sozialdemokratische Partei Deutschlands;Z;BY;;;;6;BY;234;;X
;;Schiefner;Udo;m;1959;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;NW;;;;11;NW;111;;X
;;Schielke-Ziesing;Ulrike;w;1969;Verwaltungsangestellte;AfD;Alternative für Deutschland;Z;MV;;;;3;MV;17;;
;;Schimke;Jana;w;1979;Dipl.-Politologin / Politikwissenschaftlerin;CDU;Christlich Demokratische Union Deutschlands;E;BB;62;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;30,7;;BB;;4;X
;;Schinnenburg;Wieland Albert Wilhelm;m;1958;Zahnarzt / Rechtsanwalt;FDP;Freie Demokratische Partei;Z;HH;;;;2;HH;22;;
;;Schipanski;Tankred;m;1976;MdB;CDU;Christlich Demokratische Union Deutschlands;E;TH;192;Gotha – Ilm-Kreis;29;;TH;;5;X
Dr.;;Schlund;Robby;m;1967;Arzt;AfD;Alternative für Deutschland;Z;TH;;;;4;TH;194;;
Dr.;;Schmid;Nils;m;1973;MdL;SPD;Sozialdemokratische Partei Deutschlands;Z;BW;;;;6;BW;262;;
;;Schmidt;Christian;m;1957;Bundesminister;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;243;Fürth;39,9;;BY;;6;X
;;Schmidt;Dagmar;w;1973;Historikerin;SPD;Sozialdemokratische Partei Deutschlands;Z;HE;;;;4;HE;172;;X
Dr.;;Schmidt;Frithjof;m;1953;Sozialwissenschaftler;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;NW;;;;6;NW;140;;X
